Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
EP300,E1A Binding Protein P300,Protein Coding,Q09472,65,GC22P076143,122.8296738,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP300
CCND1,Cyclin D1,Protein Coding,P24385,66,GC11P069641,122.5240326,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1
APOE,Apolipoprotein E,Protein Coding,P02649,63,GC19P123244,122.293045,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE
HIF1A,Hypoxia Inducible Factor 1 Subunit Alpha,Protein Coding,Q16665,62,GC14P061695,119.9443054,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A
TERT,Telomerase Reverse Transcriptase,Protein Coding,O14746,64,GC05M001253,118.5916824,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT
IGF1,Insulin Like Growth Factor 1,Protein Coding,P05019,61,GC12M102395,116.8109741,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1
EZH2,Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit,Protein Coding,Q15910,66,GC07M148807,116.7046356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EZH2
HNF4A,Hepatocyte Nuclear Factor 4 Alpha,Protein Coding,P41235,63,GC20P044355,116.685463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF4A
CREBBP,CREB Binding Protein,Protein Coding,Q92793,67,GC16M025750,116.2451172,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREBBP
RB1,RB Transcriptional Corepressor 1,Protein Coding,P06400,62,GC13P048303,116.1722641,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1
CXCL8,C-X-C Motif Chemokine Ligand 8,Protein Coding,P10145,56,GC04P073740,113.5541,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8
MTHFR,Methylenetetrahydrofolate Reductase,Protein Coding,P42898,61,GC01M011785,113.524559,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR
JUN,"Jun Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,P05412,63,GC01M058780,112.5448608,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN
LMNA,Lamin A/C,Protein Coding,P02545,62,GC01P156082,111.9066315,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNA
NFKB1,Nuclear Factor Kappa B Subunit 1,Protein Coding,P19838,66,GC04P102501,111.6049347,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1
FGFR1,Fibroblast Growth Factor Receptor 1,Protein Coding,P11362,68,GC08M038400,111.5569763,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1
HNF1A,HNF1 Homeobox A,Protein Coding,P20823,59,GC12P120978,109.6865768,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1A
FGFR2,Fibroblast Growth Factor Receptor 2,Protein Coding,P21802,68,GC10M121478,109.2872238,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2
GCK,Glucokinase,Protein Coding,P35557,62,GC07M045433,109.2472534,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCK
CDKN1A,Cyclin Dependent Kinase Inhibitor 1A,Protein Coding,P38936,63,GC06P144910,108.8080215,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A
BDNF,Brain Derived Neurotrophic Factor,Protein Coding,P23560,63,GC11M027654,108.6073761,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF
SRC,"SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase",Protein Coding,P12931,64,GC20P037344,108.1105881,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC
PER2,Period Circadian Regulator 2,Protein Coding,O15055,56,GC02M238244,107.2401962,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PER2
MMP9,Matrix Metallopeptidase 9,Protein Coding,P14780,66,GC20P046008,106.4805756,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9
FAS,Fas Cell Surface Death Receptor,Protein Coding,P25445,64,GC10P112626,106.2693405,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS
APP,Amyloid Beta Precursor Protein,Protein Coding,P05067,63,GC21M025880,105.7706757,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APP
FOS,"Fos Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,P01100,64,GC14P075278,104.412384,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOS
NR3C1,Nuclear Receptor Subfamily 3 Group C Member 1,Protein Coding,P04150,62,GC05M143277,103.4052887,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C1
EGF,Epidermal Growth Factor,Protein Coding,P01133,64,GC04P109912,103.129715,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF
VCP,Valosin Containing Protein,Protein Coding,P55072,62,GC09M035298,102.9956512,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCP
MAPT,Microtubule Associated Protein Tau,Protein Coding,P10636,63,GC17P045894,102.9242401,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPT
TSC2,TSC Complex Subunit 2,Protein Coding,P49815,64,GC16P095809,102.8047867,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2
MDM2,MDM2 Proto-Oncogene,Protein Coding,Q00987,67,GC12P068808,102.6598587,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM2
TLR4,Toll Like Receptor 4,Protein Coding,O00206,64,GC09P117704,102.5157166,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4
PSEN1,Presenilin 1,Protein Coding,P49768,66,GC14P073136,101.3530426,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSEN1
LEP,Leptin,Protein Coding,P41159,59,GC07P128241,101.3141098,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP
SMAD3,SMAD Family Member 3,Protein Coding,P84022,66,GC15P067063,101.1611023,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD3
MMP2,Matrix Metallopeptidase 2,Protein Coding,P08253,66,GC16P097295,101.123703,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2
PTGS2,Prostaglandin-Endoperoxide Synthase 2,Protein Coding,P35354,62,GC01M186671,101.020462,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2
ABCB1,ATP Binding Cassette Subfamily B Member 1,Protein Coding,P08183,64,GC07M087504,100.8721619,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB1
NFE2L2,NFE2 Like BZIP Transcription Factor 2,Protein Coding,Q16236,64,GC02M177227,100.8386536,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2
MECP2,Methyl-CpG Binding Protein 2,Protein Coding,P51608,59,GC0XM154021,99.90726471,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MECP2
CDKN1B,Cyclin Dependent Kinase Inhibitor 1B,Protein Coding,P46527,62,GC12P043095,99.69608307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B
VDR,Vitamin D Receptor,Protein Coding,P11473,62,GC12M047841,99.67064667,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDR
CLOCK,Clock Circadian Regulator,Protein Coding,O15516,57,GC04M055427,98.13895416,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLOCK
BMP2,Bone Morphogenetic Protein 2,Protein Coding,P12643,59,GC20P006767,97.96848297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP2
IL2,Interleukin 2,Protein Coding,P60568,59,GC04M122451,97.95341492,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2
GNAS,GNAS Complex Locus,Protein Coding,P84996,62,GC20P058839,97.8927002,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAS
COL1A1,Collagen Type I Alpha 1 Chain,Protein Coding,P02452,63,GC17M085601,97.78517914,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A1
CCL2,C-C Motif Chemokine Ligand 2,Protein Coding,P13500,62,GC17P034255,97.63685608,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2
MSH6,MutS Homolog 6,Protein Coding,P52701,62,GC02P047695,97.41814423,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH6
PAX6,Paired Box 6,Protein Coding,P26367,60,GC11M031784,97.33492279,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX6
INSR,Insulin Receptor,Protein Coding,P06213,67,GC19M007112,97.13101196,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSR
SLC2A1,Solute Carrier Family 2 Member 1,Protein Coding,P11166,66,GC01M042925,96.55382538,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A1
PER1,Period Circadian Regulator 1,Protein Coding,O15534,54,GC17M084183,96.35665131,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PER1
PRKN,Parkin RBR E3 Ubiquitin Protein Ligase,Protein Coding,O60260,62,GC06M161348,96.32185364,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKN
ADAR,Adenosine Deaminase RNA Specific,Protein Coding,P55265,59,GC01M163944,96.13082886,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAR
IL4,Interleukin 4,Protein Coding,P05112,59,GC05P132673,96.02616882,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4
FBN1,Fibrillin 1,Protein Coding,P35555,60,GC15M048408,95.02133942,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBN1
IGF2,Insulin Like Growth Factor 2,Protein Coding,P01344,62,GC11M012582,94.99282074,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2
BAX,"BCL2 Associated X, Apoptosis Regulator",Protein Coding,Q07812,64,GC19P048954,94.80979919,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAX
HBB,Hemoglobin Subunit Beta,Protein Coding,P68871,58,GC11M012709,94.34112549,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBB
SERPINE1,Serpin Family E Member 1,Protein Coding,P05121,64,GC07P101127,94.16345978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1
FLNA,Filamin A,Protein Coding,P21333,61,GC0XM154348,94.13665771,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLNA
NOS3,Nitric Oxide Synthase 3,Protein Coding,P29474,63,GC07P159858,94.08037567,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3
MITF,Melanocyte Inducing Transcription Factor,Protein Coding,O75030,61,GC03P069740,93.27371216,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MITF
CXCR4,C-X-C Motif Chemokine Receptor 4,Protein Coding,P61073,66,GC02M136114,93.11123657,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR4
SCN9A,Sodium Voltage-Gated Channel Alpha Subunit 9,Protein Coding,Q15858,60,GC02M166195,92.66490936,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN9A
SIRT1,Sirtuin 1,Protein Coding,Q96EB6,62,GC10P067884,92.22577667,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT1
SP1,Sp1 Transcription Factor,Protein Coding,P08047,59,GC12P053380,92.19797516,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP1
NGF,Nerve Growth Factor,Protein Coding,P01138,64,GC01M115285,91.79017639,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGF
HLA-DRB1,"Major Histocompatibility Complex, Class II, DR Beta 1",Protein Coding,P01911,59,GC06M097159,91.38500977,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1
SOD1,Superoxide Dismutase 1,Protein Coding,P00441,66,GC21P031659,91.06215668,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1
CREB1,CAMP Responsive Element Binding Protein 1,Protein Coding,P16220,63,GC02P207529,90.8547287,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREB1
COL2A1,Collagen Type II Alpha 1 Chain,Protein Coding,P02458,63,GC12M047972,90.80142212,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL2A1
SNCA,Synuclein Alpha,Protein Coding,P37840,64,GC04M089724,90.68132019,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNCA
HFE,Homeostatic Iron Regulator,Protein Coding,Q30201,58,GC06P026087,90.14415741,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFE
LDLR,Low Density Lipoprotein Receptor,Protein Coding,P01130,64,GC19P122311,89.7395401,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLR
FOXP3,Forkhead Box P3,Protein Coding,Q9BZS1,60,GC0XM049250,89.23452759,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP3
ALB,Albumin,Protein Coding,P02768,62,GC04P073397,89.20626831,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB
TNFRSF11B,TNF Receptor Superfamily Member 11b,Protein Coding,O00300,60,GC08M118923,89.20075226,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11B
GJA1,Gap Junction Protein Alpha 1,Protein Coding,P17302,63,GC06P146071,89.0178299,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJA1
TH,Tyrosine Hydroxylase,Protein Coding,P07101,63,GC11M002163,88.98734283,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TH
GATA4,GATA Binding Protein 4,Protein Coding,P43694,62,GC08P011676,88.90333557,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA4
IGF1R,Insulin Like Growth Factor 1 Receptor,Protein Coding,P08069,68,GC15P098648,88.54736328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1R
ICAM1,Intercellular Adhesion Molecule 1,Protein Coding,P05362,63,GC19P122290,88.46777344,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1
SHH,Sonic Hedgehog Signaling Molecule,Protein Coding,Q15465,64,GC07M155799,88.45266724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHH
MAPK3,Mitogen-Activated Protein Kinase 3,Protein Coding,P27361,63,GC16M044882,88.4491272,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK3
NTRK1,Neurotrophic Receptor Tyrosine Kinase 1,Protein Coding,P04629,62,GC01P156815,88.20123291,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK1
BMP4,Bone Morphogenetic Protein 4,Protein Coding,P12644,62,GC14M053949,88.02655029,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP4
JAK2,Janus Kinase 2,Protein Coding,O60674,66,GC09P004985,87.22742462,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK2
CASP8,Caspase 8,Protein Coding,Q14790,65,GC02P201233,86.85023499,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8
HDAC1,Histone Deacetylase 1,Protein Coding,Q13547,63,GC01P032292,86.66912842,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC1
COMT,Catechol-O-Methyltransferase,Protein Coding,P21964,64,GC22P019941,86.32603455,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMT
MEN1,Menin 1,Protein Coding,O00255,58,GC11M064803,86.27330017,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEN1
PTCH1,Patched 1,Protein Coding,Q13635,64,GC09M095442,86.20246887,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCH1
RHOA,Ras Homolog Family Member A,Protein Coding,P61586,63,GC03M049359,86.06941223,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOA
KMT2A,Lysine Methyltransferase 2A,Protein Coding,Q03164,60,GC11P118436,85.85386658,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KMT2A
F2,"Coagulation Factor II, Thrombin",Protein Coding,P00734,63,GC11P048054,85.84091187,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2
MAPK14,Mitogen-Activated Protein Kinase 14,Protein Coding,Q16539,64,GC06P144902,85.78462219,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK14
ARID1A,AT-Rich Interaction Domain 1A,Protein Coding,O14497,58,GC01P026693,85.59423828,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARID1A
APOA1,Apolipoprotein A1,Protein Coding,P02647,63,GC11M116835,85.23696899,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA1
PIK3R1,Phosphoinositide-3-Kinase Regulatory Subunit 1,Protein Coding,P27986,64,GC05P068215,83.76208496,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R1
CD36,CD36 Molecule (CD36 Blood Group),Protein Coding,P16671,63,GC07P080369,83.74021912,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD36
ABL1,"ABL Proto-Oncogene 1, Non-Receptor Tyrosine Kinase",Protein Coding,P00519,66,GC09P130713,83.65553284,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABL1
FGF2,Fibroblast Growth Factor 2,Protein Coding,P09038,59,GC04P122826,83.61065674,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF2
MAPK8,Mitogen-Activated Protein Kinase 8,Protein Coding,P45983,62,GC10P048306,83.60396576,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8
MMP1,Matrix Metallopeptidase 1,Protein Coding,P03956,63,GC11M129720,83.55261993,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1
SLC6A4,Solute Carrier Family 6 Member 4,Protein Coding,P31645,61,GC17M030194,83.52806854,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A4
PARP1,Poly(ADP-Ribose) Polymerase 1,Protein Coding,P09874,64,GC01M226360,83.52635956,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP1
WNK1,WNK Lysine Deficient Protein Kinase 1,Protein Coding,Q9H4A3,62,GC12P000769,83.18228149,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNK1
GSK3B,Glycogen Synthase Kinase 3 Beta,Protein Coding,P49841,64,GC03M119821,82.89949799,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSK3B
PER3,Period Circadian Regulator 3,Protein Coding,P56645,54,GC01P050914,82.81285095,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PER3
RAC1,Rac Family Small GTPase 1,Protein Coding,P63000,62,GC07P013892,82.68817139,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAC1
RELA,"RELA Proto-Oncogene, NF-KB Subunit",Protein Coding,Q04206,64,GC11M065653,82.65420532,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELA
BMAL1,Basic Helix-Loop-Helix ARNT Like 1,Protein Coding,O00327,54,GC11P013282,82.60513306,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMAL1
CRP,C-Reactive Protein,Protein Coding,P02741,59,GC01M164127,82.56172943,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP
PCNA,Proliferating Cell Nuclear Antigen,Protein Coding,P12004,63,GC20M005114,82.35486603,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCNA
LEPR,Leptin Receptor,Protein Coding,P48357,63,GC01P065444,82.32028961,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPR
GBA1,Glucosylceramidase Beta 1,Protein Coding,P04062,63,GC01M163977,82.18380737,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBA1
IL2RA,Interleukin 2 Receptor Subunit Alpha,Protein Coding,P01589,63,GC10M006010,82.10186768,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA
ACTB,Actin Beta,Protein Coding,P60709,63,GC07M005549,81.93499756,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTB
NOS2,Nitric Oxide Synthase 2,Protein Coding,P35228,62,GC17M027756,81.47075653,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS2
PIK3CG,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma",Protein Coding,P48736,62,GC07P106865,81.33349609,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CG
HMOX1,Heme Oxygenase 1,Protein Coding,P09601,65,GC22P035380,81.23036194,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1
ADIPOQ,"Adiponectin, C1Q And Collagen Domain Containing",Protein Coding,Q15848,59,GC03P186842,81.20441437,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ
DICER1,"Dicer 1, Ribonuclease III",Protein Coding,Q9UPY3,61,GC14M095086,81.16416931,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DICER1
TGFB2,Transforming Growth Factor Beta 2,Protein Coding,P61812,64,GC01P218345,81.10603333,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB2
PPARGC1A,PPARG Coactivator 1 Alpha,Protein Coding,Q9UBK2,60,GC04M023755,81.03941345,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARGC1A
IL1A,Interleukin 1 Alpha,Protein Coding,P01583,58,GC02M112773,80.92137146,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1A
NFKBIA,NFKB Inhibitor Alpha,Protein Coding,P25963,64,GC14M035401,80.8399353,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKBIA
CRY1,Cryptochrome Circadian Regulator 1,Protein Coding,Q16526,56,GC12M106991,80.59594727,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRY1
COL1A2,Collagen Type I Alpha 2 Chain,Protein Coding,P08123,60,GC07P094394,80.51313019,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A2
EDN1,Endothelin 1,Protein Coding,P05305,62,GC06P012237,80.44628906,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDN1
SETD2,"SET Domain Containing 2, Histone Lysine Methyltransferase",Protein Coding,Q9BYW2,60,GC03M047033,80.41641998,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SETD2
BIRC5,Baculoviral IAP Repeat Containing 5,Protein Coding,O15392,59,GC17P078214,80.39950562,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIRC5
TNFRSF11A,TNF Receptor Superfamily Member 11a,Protein Coding,Q9Y6Q6,60,GC18P062325,80.28109741,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11A
CASR,Calcium Sensing Receptor,Protein Coding,P41180,64,GC03P122183,80.25218201,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASR
PPARA,Peroxisome Proliferator Activated Receptor Alpha,Protein Coding,Q07869,58,GC22P046150,80.23878479,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARA
CYP17A1,Cytochrome P450 Family 17 Subfamily A Member 1,Protein Coding,P05093,62,GC10M102830,80.14936066,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP17A1
AGT,Angiotensinogen,Protein Coding,P01019,63,GC01M230690,80.03625488,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGT
