gene_id,renum,From,Species,Gene Name,Score,AP,layer,connected component changes,LCC changes
4067,1403,LYN,Homo sapiens,"LYN proto-oncogene, Src family tyrosine kinase(LYN)",0.85364846,4067,1,1,0.0008080808080808133
25942,489,SIN3A,Homo sapiens,SIN3 transcription regulator family member A(SIN3A),0.84993374,25942,1,1,0.0008080808080808133
3428,1274,IFI16,Homo sapiens,interferon gamma inducible protein 16(IFI16),0.84622712,3428,3,1,0.001410437235543016
2033,789,EP300,Homo sapiens,E1A binding protein p300(EP300),0.84548677,2033,2,2,0.001615508885298822
154,65,ADRB2,Homo sapiens,adrenoceptor beta 2(ADRB2),0.84400704,154,1,1,0.0008080808080808133
213,99,ALB,Homo sapiens,albumin(ALB),0.84031338,213,1,2,0.00121212121212122
919,353,CD247,Homo sapiens,CD247 molecule(CD247),0.83736428,919,1,3,0.001616161616161627
3932,1380,LCK,Homo sapiens,"LCK proto-oncogene, Src family tyrosine kinase(LCK)",0.8336852,3932,2,1,0.001077005923532548
5430,1631,POLR2A,Homo sapiens,RNA polymerase II subunit A(POLR2A),0.8307481,5430,2,1,0.001077005923532548
7189,2293,TRAF6,Homo sapiens,TNF receptor associated factor 6(TRAF6),0.82928132,7189,1,2,0.00121212121212122
867,335,CBL,Homo sapiens,Cbl proto-oncogene(CBL),0.8270836,867,2,1,0.001077005923532548
22938,1959,SNW1,Homo sapiens,SNW domain containing 1(SNW1),0.82562006,22938,2,1,0.001077005923532548
5335,1601,PLCG1,Homo sapiens,phospholipase C gamma 1(PLCG1),0.82415783,5335,5,1,0.002259887005649719
387,177,RHOA,Homo sapiens,ras homolog family member A(RHOA),0.8234272,387,1,1,0.0008080808080808133
2064,807,ERBB2,Homo sapiens,erb-b2 receptor tyrosine kinase 2(ERBB2),0.82050791,2064,2,1,0.001077005923532548
1387,499,CREBBP,Homo sapiens,CREB binding protein(CREBBP),0.81832185,1387,3,3,0.002820874471086032
23197,2118,FAF2,Homo sapiens,Fas associated factor family member 2(FAF2),0.81759381,23197,1,1,0.0008080808080808133
4089,1408,SMAD4,Homo sapiens,SMAD family member 4(SMAD4),0.8132327,4089,1,1,0.0008080808080808133
7535,2368,ZAP70,Homo sapiens,zeta chain of T cell receptor associated protein kinase 70(ZAP70),0.81178148,7535,2,3,0.002154011847065207
8826,249,IQGAP1,Homo sapiens,IQ motif containing GTPase activating protein 1(IQGAP1),0.8081591,8826,1,1,0.0008080808080808133
5934,1757,RBL2,Homo sapiens,RB transcriptional corepressor like 2(RBL2),0.80671242,5934,1,1,0.0008080808080808133
27185,1045,DISC1,Homo sapiens,DISC1 scaffold protein(DISC1),0.80454482,27185,1,1,0.0008080808080808133
3964,1384,LGALS8,Homo sapiens,galectin 8(LGALS8),0.80165923,3964,1,3,0.001616161616161627
6789,2103,STK4,Homo sapiens,serine/threonine kinase 4(STK4),0.79805953,6789,1,1,0.0008080808080808133
57520,78,HECW2,Homo sapiens,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2(HECW2)",0.79446826,57520,1,3,0.001616161616161627
3192,1245,HNRNPU,Homo sapiens,heterogeneous nuclear ribonucleoprotein U(HNRNPU),0.79088476,3192,4,1,0.001809954751131215
3064,1202,HTT,Homo sapiens,huntingtin(HTT),0.79016903,3064,1,1,0.0008080808080808133
6667,2040,SP1,Homo sapiens,Sp1 transcription factor(SP1),0.78802379,6667,2,2,0.001615508885298822
2869,1146,GRK5,Homo sapiens,G protein-coupled receptor kinase 5(GRK5),0.78659526,2869,2,1,0.001077005923532548
142,57,PARP1,Homo sapiens,poly(ADP-ribose) polymerase 1(PARP1),0.78516801,142,4,2,0.002714932126696823
5580,1655,PRKCD,Homo sapiens,protein kinase C delta(PRKCD),0.78445488,5580,5,2,0.00790960451977396
5315,1592,PKM,Homo sapiens,pyruvate kinase M1/2(PKM),0.78374207,5315,1,1,0.0008080808080808133
1459,533,CSNK2A2,Homo sapiens,casein kinase 2 alpha 2(CSNK2A2),0.78231741,1459,2,1,0.001077005923532548
7874,2430,USP7,Homo sapiens,ubiquitin specific peptidase 7(USP7),0.78089406,7874,1,1,0.0008080808080808133
24144,2402,TFIP11,Homo sapiens,tuftelin interacting protein 11(TFIP11),0.77876146,24144,1,1,0.0008080808080808133
23028,2021,KDM1A,Homo sapiens,lysine demethylase 1A(KDM1A),0.77592252,23028,1,1,0.0008080808080808133
8139,2481,GAN,Homo sapiens,gigaxonin(GAN),0.77379673,8139,1,1,0.0008080808080808133
2547,1016,XRCC6,Homo sapiens,X-ray repair cross complementing 6(XRCC6),0.77167384,2547,6,1,0.002721088435374108
9641,525,IKBKE,Homo sapiens,inhibitor of nuclear factor kappa B kinase subunit epsilon(IKBKE),0.77026021,9641,2,1,0.001077005923532548
2113,827,ETS1,Homo sapiens,"ETS proto-oncogene 1, transcription factor(ETS1)",0.76955388,2113,1,1,0.0008080808080808133
3190,1244,HNRNPK,Homo sapiens,heterogeneous nuclear ribonucleoprotein K(HNRNPK),0.76673179,3190,1,1,0.0008080808080808133
5058,1529,PAK1,Homo sapiens,p21 (RAC1) activated kinase 1(PAK1),0.76532269,5058,2,2,0.001615508885298822
57154,2455,SMURF1,Homo sapiens,SMAD specific E3 ubiquitin protein ligase 1(SMURF1),0.76391489,57154,2,1,0.001077005923532548
695,273,BTK,Homo sapiens,Bruton tyrosine kinase(BTK),0.76250838,695,1,1,0.0008080808080808133
7431,2340,VIM,Homo sapiens,vimentin(VIM),0.76110317,7431,2,1,0.001077005923532548
65125,2411,WNK1,Homo sapiens,WNK lysine deficient protein kinase 1(WNK1),0.76040105,65125,2,5,0.003769520732364029
3717,1343,JAK2,Homo sapiens,Janus kinase 2(JAK2),0.75549561,3717,3,1,0.001410437235543016
821,316,CANX,Homo sapiens,calnexin(CANX),0.75479609,821,1,1,0.0008080808080808133
5747,1703,PTK2,Homo sapiens,protein tyrosine kinase 2(PTK2),0.75130331,5747,2,1,0.001615508885298822
7520,2365,XRCC5,Homo sapiens,X-ray repair cross complementing 5(XRCC5),0.74851525,7520,8,1,0.005988023952095856
26524,754,LATS2,Homo sapiens,large tumor suppressor kinase 2(LATS2),0.74781896,26524,2,1,0.001077005923532548
9924,672,PAN2,Homo sapiens,poly(A) specific ribonuclease subunit PAN2(PAN2),0.74573204,9924,4,1,0.002714932126696823
6453,1891,ITSN1,Homo sapiens,intersectin 1(ITSN1),0.74503705,6453,1,3,0.001616161616161627
27161,1031,AGO2,Homo sapiens,argonaute RISC catalytic component 2(AGO2),0.74087391,27161,2,1,0.001077005923532548
4771,1486,NF2,Homo sapiens,"NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor(NF2)",0.73948878,4771,3,1,0.001410437235543016
1399,507,CRKL,Homo sapiens,"CRK like proto-oncogene, adaptor protein(CRKL)",0.73810496,1399,2,1,0.001077005923532548
2289,924,FKBP5,Homo sapiens,FKBP prolyl isomerase 5(FKBP5),0.73672243,2289,2,1,0.001077005923532548
5573,1651,PRKAR1A,Homo sapiens,protein kinase cAMP-dependent type I regulatory subunit alpha(PRKAR1A),0.73534119,5573,1,1,0.0008080808080808133
2078,817,ERG,Homo sapiens,ETS transcription factor ERG(ERG),0.73258294,2078,3,1,0.001410437235543016
10419,891,PRMT5,Homo sapiens,protein arginine methyltransferase 5(PRMT5),0.73120559,10419,2,2,0.001615508885298822
6606,1998,SMN1,Homo sapiens,"survival of motor neuron 1, telomeric(SMN1)",0.729142,6606,2,1,0.001077005923532548
5591,1662,PRKDC,Homo sapiens,"protein kinase, DNA-activated, catalytic subunit(PRKDC)",0.72639541,5591,8,1,0.005988023952095856
8450,117,CUL4B,Homo sapiens,cullin 4B(CUL4B),0.72433862,8450,1,2,0.00121212121212122
10013,712,HDAC6,Homo sapiens,histone deacetylase 6(HDAC6),0.72160078,10013,4,2,0.003619909502262431
3383,1268,ICAM1,Homo sapiens,intercellular adhesion molecule 1(ICAM1),0.7202338,3383,3,1,0.001410437235543016
5562,1650,PRKAA1,Homo sapiens,protein kinase AMP-activated catalytic subunit alpha 1(PRKAA1),0.71886812,5562,2,2,0.001615508885298822
9759,594,HDAC4,Homo sapiens,histone deacetylase 4(HDAC4),0.71477982,9759,2,1,0.001077005923532548
8607,186,RUVBL1,Homo sapiens,RuvB like AAA ATPase 1(RUVBL1),0.71409941,8607,6,1,0.002721088435374108
3551,1293,IKBKB,Homo sapiens,inhibitor of nuclear factor kappa B kinase subunit beta(IKBKB),0.71341932,3551,1,1,0.0008080808080808133
4233,1429,MET,Homo sapiens,"MET proto-oncogene, receptor tyrosine kinase(MET)",0.71206012,4233,1,1,0.0008080808080808133
84464,1015,SLX4,Homo sapiens,SLX4 structure-specific endonuclease subunit(SLX4),0.71070222,84464,2,3,0.002154011847065207
84656,1093,GLYR1,Homo sapiens,glyoxylate reductase 1 homolog(GLYR1),0.70934561,84656,1,2,0.002020202020202033
79867,1815,TCTN2,Homo sapiens,tectonic family member 2(TCTN2),0.70460865,79867,1,1,0.0008080808080808133
3055,1198,HCK,Homo sapiens,"HCK proto-oncogene, Src family tyrosine kinase(HCK)",0.70325787,3055,8,1,0.003992015968063867
1667,644,DEFA1,Homo sapiens,defensin alpha 1(DEFA1),0.70258297,1667,1,1,0.0008080808080808133
5796,1716,PTPRK,Homo sapiens,protein tyrosine phosphatase receptor type K(PTPRK),0.70123414,5796,1,1,0.0008080808080808133
3716,1342,JAK1,Homo sapiens,Janus kinase 1(JAK1),0.69921332,3716,5,1,0.002259887005649719
2549,1017,GAB1,Homo sapiens,GRB2 associated binding protein 1(GAB1),0.69854036,2549,4,2,0.003619909502262431
8924,295,HERC2,Homo sapiens,HECT and RLD domain containing E3 ubiquitin protein ligase 2(HERC2),0.69786772,8924,2,1,0.001615508885298822
960,374,CD44,Homo sapiens,CD44 molecule (IN blood group)(CD44),0.69719541,960,4,1,0.001809954751131215
7048,2233,TGFBR2,Homo sapiens,transforming growth factor beta receptor 2(TGFBR2),0.69652342,7048,4,1,0.001809954751131215
10291,824,SF3A1,Homo sapiens,splicing factor 3a subunit 1(SF3A1),0.69585176,10291,3,1,0.001410437235543016
7409,2333,VAV1,Homo sapiens,vav guanine nucleotide exchange factor 1(VAV1),0.69450941,7409,2,2,0.001615508885298822
6504,1920,SLAMF1,Homo sapiens,signaling lymphocytic activation molecule family member 1(SLAMF1),0.69316835,6504,2,1,0.001077005923532548
2244,899,FGB,Homo sapiens,fibrinogen beta chain(FGB),0.69115919,2244,1,1,0.0008080808080808133
1408,509,CRY2,Homo sapiens,cryptochrome circadian regulator 2(CRY2),0.68915295,1408,2,1,0.001077005923532548
5579,1654,PRKCB,Homo sapiens,protein kinase C beta(PRKCB),0.68714963,5579,2,1,0.001077005923532548
5788,1712,PTPRC,Homo sapiens,protein tyrosine phosphatase receptor type C(PTPRC),0.6858157,5788,4,1,0.001809954751131215
3815,1362,KIT,Homo sapiens,"KIT proto-oncogene, receptor tyrosine kinase(KIT)",0.68448307,3815,1,1,0.0008080808080808133
3198,1247,HOXA1,Homo sapiens,homeobox A1(HOXA1),0.68315173,3198,1,4,0.002020202020202033
11190,1182,CEP250,Homo sapiens,centrosomal protein 250(CEP250),0.67916549,11190,3,2,0.002115655853314524
8503,139,PIK3R3,Homo sapiens,phosphoinositide-3-kinase regulatory subunit 3(PIK3R3),0.67850225,8503,3,1,0.001410437235543016
23020,2014,SNRNP200,Homo sapiens,small nuclear ribonucleoprotein U5 subunit 200(SNRNP200),0.67783934,23020,3,1,0.002115655853314524
8648,198,NCOA1,Homo sapiens,nuclear receptor coactivator 1(NCOA1),0.67717675,8648,10,1,0.008510638297872353
6908,2157,TBP,Homo sapiens,TATA-box binding protein(TBP),0.67651448,6908,3,1,0.001410437235543016
7421,2337,VDR,Homo sapiens,vitamin D receptor(VDR),0.67519092,7421,10,1,0.008510638297872353
11064,1147,CNTRL,Homo sapiens,centriolin(CNTRL),0.67452963,11064,1,1,0.0008080808080808133
3091,1214,HIF1A,Homo sapiens,hypoxia inducible factor 1 subunit alpha(HIF1A),0.67320801,3091,3,1,0.001410437235543016
23524,2279,SRRM2,Homo sapiens,serine/arginine repetitive matrix 2(SRRM2),0.67122801,23524,1,1,0.0008080808080808133
2040,795,STOM,Homo sapiens,stomatin(STOM),0.66990963,2040,3,1,0.001410437235543016
149628,862,PYHIN1,Homo sapiens,pyrin and HIN domain family member 1(PYHIN1),0.66859255,149628,5,1,0.002259887005649719
22919,1942,MAPRE1,Homo sapiens,microtubule associated protein RP/EB family member 1(MAPRE1),0.66727677,22919,3,2,0.002115655853314524
9972,692,NUP153,Homo sapiens,nucleoporin 153(NUP153),0.66661936,9972,12,1,0.03448275862068961
5727,1693,PTCH1,Homo sapiens,patched 1(PTCH1),0.66596228,5727,1,1,0.0008080808080808133
9991,704,PTBP3,Homo sapiens,polypyrimidine tract binding protein 3(PTBP3),0.66268205,9991,2,2,0.001615508885298822
7434,2343,VIPR2,Homo sapiens,vasoactive intestinal peptide receptor 2(VIPR2),0.66202691,7434,1,2,0.00121212121212122
6711,2064,SPTBN1,Homo sapiens,"spectrin beta, non-erythrocytic 1(SPTBN1)",0.6594096,6711,3,1,0.001410437235543016
8202,6,NCOA3,Homo sapiens,nuclear receptor coactivator 3(NCOA3),0.65875608,8202,10,1,0.008510638297872353
1642,632,DDB1,Homo sapiens,damage specific DNA binding protein 1(DDB1),0.65810288,1642,7,2,0.004942339373970372
10499,930,NCOA2,Homo sapiens,nuclear receptor coactivator 2(NCOA2),0.65745001,10499,7,1,0.003294892915980285
57122,2447,NUP107,Homo sapiens,nucleoporin 107(NUP107),0.65679747,57122,12,1,0.08620689655172409
7094,2254,TLN1,Homo sapiens,talin 1(TLN1),0.65614525,7094,1,2,0.00121212121212122
23451,2240,SF3B1,Homo sapiens,splicing factor 3b subunit 1(SF3B1),0.65419052,23451,11,1,0.03305785123966942
11281,1213,POU6F2,Homo sapiens,POU class 6 homeobox 2(POU6F2),0.6535396,11281,1,2,0.00121212121212122
23210,2125,JMJD6,Homo sapiens,"jumonji domain containing 6, arginine demethylase and lysine hydroxylase(JMJD6)",0.65093913,23210,1,1,0.0008080808080808133
2,2,A2M,Homo sapiens,alpha-2-macroglobulin(A2M),0.64769616,2,7,1,0.009884678747940745
9733,577,SART3,Homo sapiens,"spliceosome associated factor 3, U4/U6 recycling protein(SART3)",0.6457544,9733,4,1,0.001809954751131215
8347,66,H2BC4,Homo sapiens,H2B clustered histone 4(H2BC4),0.64446129,8347,1,1,0.0008080808080808133
5062,1531,PAK2,Homo sapiens,p21 (RAC1) activated kinase 2(PAK2),0.64252407,5062,1,1,0.0008080808080808133
491,215,ATP2B2,Homo sapiens,ATPase plasma membrane Ca2+ transporting 2(ATP2B2),0.64058975,491,3,1,0.001410437235543016
11269,1209,DDX19B,Homo sapiens,DEAD-box helicase 19B(DDX19B),0.63994563,11269,4,1,0.001809954751131215
116840,852,CNTROB,Homo sapiens,"centrobin, centriole duplication and spindle assembly protein(CNTROB)",0.63865836,116840,1,1,0.0008080808080808133
10956,1104,OS9,Homo sapiens,OS9 endoplasmic reticulum lectin(OS9),0.63737238,10956,3,1,0.001410437235543016
5708,1684,PSMD2,Homo sapiens,"proteasome 26S subunit ubiquitin receptor, non-ATPase 2(PSMD2)",0.63672988,5708,2,1,0.001077005923532548
920,354,CD4,Homo sapiens,CD4 molecule(CD4),0.6360877,920,2,1,0.001077005923532548
6502,1918,SKP2,Homo sapiens,S-phase kinase associated protein 2(SKP2),0.63480432,6502,6,2,0.008163265306122436
7454,2350,WAS,Homo sapiens,WASP actin nucleation promoting factor(WAS),0.63416311,7454,6,1,0.002721088435374108
5584,1658,PRKCI,Homo sapiens,protein kinase C iota(PRKCI),0.63352223,5584,7,1,0.004942339373970372
4005,1392,LMO2,Homo sapiens,LIM domain only 2(LMO2),0.63288167,4005,2,1,0.001077005923532548
3688,1329,ITGB1,Homo sapiens,integrin subunit beta 1(ITGB1),0.63160153,3688,7,1,0.003294892915980285
81609,2433,SNX27,Homo sapiens,sorting nexin 27(SNX27),0.63096194,81609,2,2,0.001615508885298822
56104,2185,PCDHGB1,Homo sapiens,"protocadherin gamma subfamily B, 1(PCDHGB1)",0.62904512,56104,1,2,0.00121212121212122
6383,1870,SDC2,Homo sapiens,syndecan 2(SDC2),0.62649391,6383,2,2,0.001615508885298822
10783,1035,NEK6,Homo sapiens,NIMA related kinase 6(NEK6),0.62522024,10783,10,1,0.02553191489361706
23385,2211,NCSTN,Homo sapiens,nicastrin(NCSTN),0.6245839,23385,4,1,0.001809954751131215
10426,894,TUBGCP3,Homo sapiens,tubulin gamma complex component 3(TUBGCP3),0.62394787,10426,3,1,0.001410437235543016
1003,390,CDH5,Homo sapiens,cadherin 5(CDH5),0.6226768,1003,5,1,0.003389830508474523
55662,1925,HIF1AN,Homo sapiens,hypoxia inducible factor 1 subunit alpha inhibitor(HIF1AN),0.62204175,55662,1,2,0.00121212121212122
25953,496,PNKD,Homo sapiens,PNKD metallo-beta-lactamase domain containing(PNKD),0.62013854,25953,8,2,0.007984031936127733
5824,1723,PEX19,Homo sapiens,peroxisomal biogenesis factor 19(PEX19),0.61950479,5824,2,3,0.002692514808831481
9869,651,SETDB1,Homo sapiens,SET domain bifurcated histone lysine methyltransferase 1(SETDB1),0.61823825,9869,9,1,0.007751937984496138
55763,2003,EXOC1,Homo sapiens,exocyst complex component 1(EXOC1),0.61760547,55763,6,1,0.002721088435374108
2260,909,FGFR1,Homo sapiens,fibroblast growth factor receptor 1(FGFR1),0.61697301,2260,1,1,0.0008080808080808133
240,110,ALOX5,Homo sapiens,arachidonate 5-lipoxygenase(ALOX5),0.61507758,240,1,1,0.0008080808080808133
3113,1227,HLA-DPA1,Homo sapiens,"major histocompatibility complex, class II, DP alpha 1(HLA-DPA1)",0.61318507,3113,1,2,0.00121212121212122
221937,304,FOXK1,Homo sapiens,forkhead box K1(FOXK1),0.61129547,221937,1,1,0.0008080808080808133
11035,1138,RIPK3,Homo sapiens,receptor interacting serine/threonine kinase 3(RIPK3),0.61003736,11035,5,1,0.002259887005649719
79705,1769,LRRK1,Homo sapiens,leucine rich repeat kinase 1(LRRK1),0.60940879,79705,10,1,0.008510638297872353
23468,2250,CBX5,Homo sapiens,chromobox 5(CBX5),0.60878054,23468,1,1,0.0008080808080808133
84868,1163,HAVCR2,Homo sapiens,hepatitis A virus cellular receptor 2(HAVCR2),0.60752502,84868,1,1,0.0008080808080808133
752,303,FMNL1,Homo sapiens,formin like 1(FMNL1),0.6062708,752,3,1,0.001410437235543016
7289,2308,TULP3,Homo sapiens,TUB like protein 3(TULP3),0.60501787,7289,1,2,0.00121212121212122
153241,1709,CEP120,Homo sapiens,centrosomal protein 120(CEP120),0.60314091,153241,2,1,0.001077005923532548
2358,952,FPR2,Homo sapiens,formyl peptide receptor 2(FPR2),0.60189122,2358,3,1,0.001410437235543016
3718,1344,JAK3,Homo sapiens,Janus kinase 3(JAK3),0.60064283,3718,6,1,0.002721088435374108
19,11,ABCA1,Homo sapiens,ATP binding cassette subfamily A member 1(ABCA1),0.59939573,19,3,1,0.001410437235543016
5663,1674,PSEN1,Homo sapiens,presenilin 1(PSEN1),0.59752752,5663,7,1,0.003294892915980285
23043,2033,TNIK,Homo sapiens,TRAF2 and NCK interacting kinase(TNIK),0.59566254,23043,3,2,0.002115655853314524
3965,1385,LGALS9,Homo sapiens,galectin 9(LGALS9),0.59442063,3965,1,1,0.0008080808080808133
9702,565,CEP57,Homo sapiens,centrosomal protein 57(CEP57),0.59318001,9702,1,1,0.0008080808080808133
9135,365,RABEP1,Homo sapiens,"rabaptin, RAB GTPase binding effector protein 1(RABEP1)",0.59132152,9135,1,1,0.0008080808080808133
8766,232,RAB11A,Homo sapiens,"RAB11A, member RAS oncogene family(RAB11A)",0.59008414,8766,3,1,0.001410437235543016
3480,1282,IGF1R,Homo sapiens,insulin like growth factor 1 receptor(IGF1R),0.5876136,3480,1,2,0.00121212121212122
1778,690,DYNC1H1,Homo sapiens,dynein cytoplasmic 1 heavy chain 1(DYNC1H1),0.58576386,1778,3,1,0.001410437235543016
2035,791,EPB41,Homo sapiens,erythrocyte membrane protein band 4.1(EPB41),0.58453231,2035,4,1,0.004524886877828038
8508,143,NIPSNAP1,Homo sapiens,nipsnap homolog 1(NIPSNAP1),0.58391703,8508,4,1,0.002714932126696823
8554,165,PIAS1,Homo sapiens,protein inhibitor of activated STAT 1(PIAS1),0.58145945,8554,2,1,0.001077005923532548
2041,796,EPHA1,Homo sapiens,EPH receptor A1(EPHA1),0.57900673,2041,7,1,0.003294892915980285
167691,1370,LCA5,Homo sapiens,lebercilin LCA5(LCA5),0.57778231,167691,1,1,0.0008080808080808133
64881,2369,PCDH20,Homo sapiens,protocadherin 20(PCDH20),0.57655919,64881,1,1,0.0008080808080808133
7879,2432,RAB7A,Homo sapiens,"RAB7A, member RAS oncogene family(RAB7A)",0.57533737,7879,2,1,0.001077005923532548
154796,2321,AMOT,Homo sapiens,angiomotin(AMOT),0.57411684,154796,2,1,0.001077005923532548
817,314,CAMK2D,Homo sapiens,calcium/calmodulin dependent protein kinase II delta(CAMK2D),0.57289761,817,2,1,0.001077005923532548
11124,1158,FAF1,Homo sapiens,Fas associated factor 1(FAF1),0.57167968,11124,3,1,0.001410437235543016
25820,452,ARIH1,Homo sapiens,ariadne RBR E3 ubiquitin protein ligase 1(ARIH1),0.57046304,25820,1,1,0.0008080808080808133
159195,1292,USP54,Homo sapiens,ubiquitin specific peptidase 54(USP54),0.56864051,159195,2,2,0.001615508885298822
51631,990,LUC7L2,Homo sapiens,"LUC7 like 2, pre-mRNA splicing factor(LUC7L2)",0.566215,51631,6,1,0.002721088435374108
29119,1459,CTNNA3,Homo sapiens,catenin alpha 3(CTNNA3),0.5643996,29119,2,1,0.001615508885298822
7704,2390,ZBTB16,Homo sapiens,zinc finger and BTB domain containing 16(ZBTB16),0.5619835,7704,3,1,0.001410437235543016
51744,1036,CD244,Homo sapiens,CD244 molecule(CD244),0.56077722,51744,1,1,0.0008080808080808133
1859,727,DYRK1A,Homo sapiens,dual specificity tyrosine phosphorylation regulated kinase 1A(DYRK1A),0.55957225,1859,2,1,0.001077005923532548
54870,1689,QRICH1,Homo sapiens,glutamine rich 1(QRICH1),0.55776722,54870,1,2,0.00121212121212122
7402,2331,UTRN,Homo sapiens,utrophin(UTRN),0.5559651,7402,1,1,0.0008080808080808133
815,313,CAMK2A,Homo sapiens,calcium/calmodulin dependent protein kinase II alpha(CAMK2A),0.5541659,815,2,1,0.001077005923532548
23499,2267,MACF1,Homo sapiens,microtubule actin crosslinking factor 1(MACF1),0.55296805,23499,1,1,0.00121212121212122
5789,1713,PTPRD,Homo sapiens,protein tyrosine phosphatase receptor type D(PTPRD),0.55057657,5789,4,1,0.002714932126696823
8399,96,PLA2G10,Homo sapiens,phospholipase A2 group X(PLA2G10),0.54997943,8399,2,2,0.001615508885298822
90273,75,CEACAM21,Homo sapiens,CEA cell adhesion molecule 21(CEACAM21),0.54818994,90273,2,1,0.001077005923532548
10238,797,DCAF7,Homo sapiens,DDB1 and CUL4 associated factor 7(DCAF7),0.54640338,10238,2,1,0.001077005923532548
9447,455,AIM2,Homo sapiens,absent in melanoma 2(AIM2),0.54521396,9447,6,3,0.005442176870748328
1896,735,EDA,Homo sapiens,ectodysplasin A(EDA),0.54343225,1896,1,1,0.0008080808080808133
7133,2278,TNFRSF1B,Homo sapiens,TNF receptor superfamily member 1B(TNFRSF1B),0.54106151,7133,2,1,0.001077005923532548
6235,1837,RPS29,Homo sapiens,ribosomal protein S29(RPS29),0.53987791,6235,2,1,0.001077005923532548
3240,1252,HP,Homo sapiens,haptoglobin(HP),0.53869562,3240,2,1,0.001077005923532548
11326,1237,VSIG4,Homo sapiens,V-set and immunoglobulin domain containing 4(VSIG4),0.53692461,11326,3,1,0.001410437235543016
27430,1141,MAT2B,Homo sapiens,methionine adenosyltransferase 2 non-catalytic beta subunit(MAT2B),0.53574555,27430,2,1,0.001077005923532548
171483,2385,FAM9B,Homo sapiens,family with sequence similarity 9 member B(FAM9B),0.5339794,171483,4,1,0.001809954751131215
26003,513,GORASP2,Homo sapiens,golgi reassembly stacking protein 2(GORASP2),0.53221649,26003,1,1,0.0008080808080808133
29904,1599,EEF2K,Homo sapiens,eukaryotic elongation factor 2 kinase(EEF2K),0.53104262,29904,3,1,0.001410437235543016
