GeneID,Symbol,Description,GeneType,EnsemblGeneID,Length
26155,NOC2L,NOC2 like nucleolar associated transcriptional repressor,protein-coding,ENSG00000188976,2757
339451,KLHL17,kelch like family member 17,protein-coding,ENSG00000187961,3277
84069,PLEKHN1,pleckstrin homology domain containing N1,protein-coding,ENSG00000187583,4005
84808,PERM1,"PPARGC1 and ESRR induced regulator, muscle 1",protein-coding,ENSG00000187642,3615
57801,HES4,hes family bHLH transcription factor 4,protein-coding,ENSG00000188290,1920
9636,ISG15,ISG15 ubiquitin like modifier,protein-coding,ENSG00000187608,637
375790,AGRN,agrin,protein-coding,ENSG00000188157,8127
100288175,LOC100288175,uncharacterized LOC100288175,ncRNA,ENSG00000291156,974
112267874,LOC112267874,replaced by ID 105378948,,,2703
105378948,LOC105378948,uncharacterized LOC105378948,ncRNA,,2920
401934,RNF223,ring finger protein 223,protein-coding,ENSG00000237330,1900
54991,C1orf159,chromosome 1 open reading frame 159,protein-coding,ENSG00000131591,2432
254099,LINC01342,long intergenic non-protein coding RNA 1342,ncRNA,ENSG00000223823,1620
406984,MIR200B,microRNA 200b,ncRNA,ENSG00000207730,95
406983,MIR200A,microRNA 200a,ncRNA,ENSG00000207607,90
554210,MIR429,microRNA 429,ncRNA,ENSG00000198976,83
100506376,TTLL10-AS1,TTLL10 antisense RNA 1,ncRNA,ENSG00000205231,4176
254173,TTLL10,tubulin tyrosine ligase like 10,protein-coding,ENSG00000162571,4296
8784,TNFRSF18,TNF receptor superfamily member 18,protein-coding,ENSG00000186891,2457
7293,TNFRSF4,TNF receptor superfamily member 4,protein-coding,ENSG00000186827,3671
51150,SDF4,stromal cell derived factor 4,protein-coding,ENSG00000078808,4070
126792,B3GALT6,"beta-1,3-galactosyltransferase 6",protein-coding,ENSG00000176022,2805
388581,C1QTNF12,C1q and TNF related 12,protein-coding,ENSG00000184163,1309
118424,UBE2J2,ubiquitin conjugating enzyme E2 J2,protein-coding,ENSG00000160087,4337
101928895,LINC01786,long intergenic non-protein coding RNA 1786,ncRNA,,1671
6339,SCNN1D,sodium channel epithelial 1 subunit delta,protein-coding,ENSG00000162572,3054
116983,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",protein-coding,ENSG00000131584,6632
102465434,MIR6726,microRNA 6726,ncRNA,ENSG00000278073,61
109623456,SNORD167,"small nucleolar RNA, C/D box 167",snoRNA,,84
126789,PUSL1,pseudouridine synthase like 1,protein-coding,ENSG00000169972,1412
54973,INTS11,integrator complex subunit 11,protein-coding,ENSG00000127054,2629
102465435,MIR6727,microRNA 6727,ncRNA,ENSG00000283712,65
80772,CPTP,ceramide-1-phosphate transfer protein,protein-coding,ENSG00000224051,3041
83756,TAS1R3,taste 1 receptor member 3,protein-coding,ENSG00000169962,3607
1855,DVL1,dishevelled segment polarity protein 1,protein-coding,ENSG00000107404,3343
102466740,MIR6808,microRNA 6808,ncRNA,ENSG00000284372,59
54587,MXRA8,matrix remodeling associated 8,protein-coding,ENSG00000162576,4842
54998,AURKAIP1,aurora kinase A interacting protein 1,protein-coding,ENSG00000175756,1484
81669,CCNL2,cyclin L2,protein-coding,ENSG00000221978,5817
148413,MRPL20-AS1,MRPL20 antisense RNA 1,ncRNA,ENSG00000224870,1748
55052,MRPL20,mitochondrial ribosomal protein L20,protein-coding,ENSG00000242485,1045
107984868,LOC107984868,,,,3854
441869,ANKRD65,ankyrin repeat domain 65,protein-coding,ENSG00000235098,3340
105378585,ANKRD65-AS1,ANKRD65 antisense RNA 1,ncRNA,,1139
643965,TMEM88B,transmembrane protein 88B,protein-coding,ENSG00000205116,492
102724312,LINC01770,long intergenic non-protein coding RNA 1770,ncRNA,,1194
107985729,LOC107985729,uncharacterized LOC107985729,protein-coding,,1463
64856,VWA1,von Willebrand factor A domain containing 1,protein-coding,ENSG00000179403,4492
219293,ATAD3C,ATPase family AAA domain containing 3C,protein-coding,ENSG00000215915,3864
83858,ATAD3B,ATPase family AAA domain containing 3B,protein-coding,ENSG00000160072,6268
55210,ATAD3A,ATPase family AAA domain containing 3A,protein-coding,ENSG00000197785,2885
339453,TMEM240,transmembrane protein 240,protein-coding,ENSG00000205090,1381
29101,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase",protein-coding,ENSG00000160075,1284
643988,FNDC10,fibronectin type III domain containing 10,protein-coding,ENSG00000228594,2124
105378586,LOC105378586,uncharacterized LOC105378586,ncRNA,,572
142678,MIB2,MIB E3 ubiquitin protein ligase 2,protein-coding,ENSG00000197530,9692
8510,MMP23B,matrix metallopeptidase 23B,protein-coding,ENSG00000189409,2764
984,CDK11B,cyclin dependent kinase 11B,protein-coding,ENSG00000248333,4363
728661,SLC35E2B,solute carrier family 35 member E2B,protein-coding,ENSG00000189339,6908
8511,MMP23A,matrix metallopeptidase 23A (pseudogene),pseudo,ENSG00000215914,906
728642,CDK11A,cyclin dependent kinase 11A,protein-coding,ENSG00000008128,3050
9906,SLC35E2A,solute carrier family 35 member E2A,pseudo,,7297
112268218,LOC112268218,uncharacterized LOC112268218,ncRNA,,2032
65220,NADK,NAD kinase,protein-coding,ENSG00000008130,5092
2782,GNB1,G protein subunit beta 1,protein-coding,ENSG00000078369,3494
105378949,GNB1-DT,GNB1 divergent transcript,ncRNA,ENSG00000231050,1470
163688,CALML6,calmodulin like 6,protein-coding,ENSG00000169885,2245
339456,TMEM52,transmembrane protein 52,protein-coding,ENSG00000178821,935
85452,CFAP74,cilia and flagella associated protein 74,protein-coding,ENSG00000142609,7400
107984872,LOC107984872,uncharacterized LOC107984872,ncRNA,,2799
105378589,LOC105378589,uncharacterized LOC105378589,ncRNA,,4748
2563,GABRD,gamma-aminobutyric acid type A receptor subunit delta,protein-coding,ENSG00000187730,5126
105378590,LOC105378590,uncharacterized LOC105378590,ncRNA,,2225
105378591,PRKCZ-DT,PRKCZ divergent transcript,ncRNA,ENSG00000226969,540
5590,PRKCZ,protein kinase C zeta,protein-coding,ENSG00000067606,7347
100506504,PRKCZ-AS1,PRKCZ antisense RNA 1,ncRNA,ENSG00000182873,1253
199990,FAAP20,FA core complex associated protein 20,protein-coding,ENSG00000162585,7844
112268219,LOC112268219,uncharacterized LOC112268219,ncRNA,,2671
105378593,LOC105378593,uncharacterized LOC105378593,ncRNA,,1031
6497,SKI,SKI proto-oncogene,protein-coding,ENSG00000157933,11061
79906,MORN1,MORN repeat containing 1,protein-coding,ENSG00000116151,6202
100129534,LOC100129534,small nuclear ribonucleoprotein polypeptide N pseudogene,pseudo,ENSG00000269896,2248
11079,RER1,retention in endoplasmic reticulum sorting receptor 1,protein-coding,ENSG00000157916,3028
5192,PEX10,peroxisomal biogenesis factor 10,protein-coding,ENSG00000157911,2077
9651,PLCH2,phospholipase C eta 2,protein-coding,ENSG00000149527,7938
55229,PANK4,pantothenate kinase 4 (inactive),protein-coding,ENSG00000157881,4482
388585,HES5,hes family bHLH transcription factor 5,protein-coding,ENSG00000197921,1711
115110,TNFRSF14-AS1,TNFRSF14 antisense RNA 1,ncRNA,,4619
8764,TNFRSF14,TNF receptor superfamily member 14,protein-coding,ENSG00000157873,4764
100996583,LOC100996583,uncharacterized LOC100996583,ncRNA,ENSG00000228037,698
127281,PRXL2B,peroxiredoxin like 2B,protein-coding,ENSG00000157870,2891
79258,MMEL1,membrane metalloendopeptidase like 1,protein-coding,ENSG00000142606,3323
105378597,MMEL1-AS1,MMEL1 antisense RNA 1,ncRNA,,1050
100287898,TTC34,tetratricopeptide repeat domain 34,protein-coding,ENSG00000215912,7080
105378603,LOC105378603,,,,128
105378602,LOC105378602,uncharacterized LOC105378602,ncRNA,,777
105378601,LOC105378601,uncharacterized LOC105378601,ncRNA,,777
112268220,LOC112268220,uncharacterized LOC112268220,ncRNA,,996
107985732,LOC107985732,uncharacterized LOC107985732,ncRNA,,822
105378600,LOC105378600,uncharacterized LOC105378600,ncRNA,,777
105378598,LOC105378598,uncharacterized LOC105378598,ncRNA,,4691
107984904,LOC107984904,uncharacterized LOC107984904,ncRNA,,822
105378599,LOC105378599,uncharacterized LOC105378599,ncRNA,,777
140625,ACTRT2,actin related protein T2,protein-coding,ENSG00000169717,1437
440556,PRDM16-DT,PRDM16 divergent transcript,ncRNA,ENSG00000177133,3848
63976,PRDM16,PR/SET domain 16,protein-coding,ENSG00000142611,8698
100422968,MIR4251,microRNA 4251,ncRNA,ENSG00000283572,61
105378606,LOC105378606,uncharacterized LOC105378606,ncRNA,,6179
107984909,LOC107984909,uncharacterized LOC107984909,ncRNA,,2459
105378605,LOC105378605,uncharacterized LOC105378605,ncRNA,,3292
105378604,LOC105378604,uncharacterized LOC105378604,ncRNA,,13518
27237,ARHGEF16,Rho guanine nucleotide exchange factor 16,protein-coding,ENSG00000130762,3971
1953,MEGF6,multiple EGF like domains 6,protein-coding,ENSG00000162591,8665
105378608,LOC105378608,uncharacterized LOC105378608,ncRNA,,3022
693135,MIR551A,microRNA 551a,ncRNA,ENSG00000207776,96
105378607,LOC105378607,,,,990
127262,TPRG1L,tumor protein p63 regulated 1 like,protein-coding,ENSG00000158109,2401
49856,WRAP73,"WD repeat containing, antisense to TP73",protein-coding,ENSG00000116213,1829
7161,TP73,tumor protein p73,protein-coding,ENSG00000078900,5571
105378610,TP73-AS3,TP73 antisense RNA 3,ncRNA,,2164
105378609,LOC105378609,,,,709
57212,TP73-AS1,TP73 antisense RNA 1,ncRNA,ENSG00000227372,6455
148870,CCDC27,coiled-coil domain containing 27,protein-coding,ENSG00000162592,3676
388588,SMIM1,small integral membrane protein 1 (Vel blood group),protein-coding,ENSG00000235169,573
57470,LRRC47,leucine rich repeat containing 47,protein-coding,ENSG00000130764,4303
9731,CEP104,centrosomal protein 104,protein-coding,ENSG00000116198,6687
1677,DFFB,DNA fragmentation factor subunit beta,protein-coding,ENSG00000169598,5760
107984910,LOC107984910,,,,2271
339448,C1orf174,chromosome 1 open reading frame 174,protein-coding,ENSG00000198912,4276
100133612,LINC01134,long intergenic non-protein coding RNA 1134,ncRNA,ENSG00000236423,1952
728716,LINC01346,long intergenic non-protein coding RNA 1346,ncRNA,,568
105376672,LINC01345,long intergenic non-protein coding RNA 1345,ncRNA,ENSG00000226374,937
105376673,LINC02780,long intergenic non-protein coding RNA 2780,ncRNA,,3030
284661,LINC01777,long intergenic non-protein coding RNA 1777,ncRNA,ENSG00000235054,2074
105376674,LOC105376674,uncharacterized LOC105376674,ncRNA,,1175
105376679,LINC01646,long intergenic non-protein coding RNA 1646,ncRNA,ENSG00000232596,1028
107985376,LOC107985376,,,,557
55966,AJAP1,adherens junctions associated protein 1,protein-coding,ENSG00000196581,13063
105376680,LINC02781,long intergenic non-protein coding RNA 2781,ncRNA,ENSG00000284674,1968
102724429,LOC102724429,uncharacterized LOC102724429,ncRNA,,1051
105376681,LINC02782,long intergenic non-protein coding RNA 2782,ncRNA,,465
105376682,LOC105376682,uncharacterized LOC105376682,ncRNA,,434
107984911,LOC107984911,uncharacterized LOC107984911,ncRNA,,2970
105376686,LOC105376686,uncharacterized LOC105376686,ncRNA,,2774
100616421,MIR4689,microRNA 4689,ncRNA,ENSG00000264101,70
261734,NPHP4,nephrocystin 4,protein-coding,ENSG00000131697,8356
8514,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2,protein-coding,ENSG00000069424,5360
26038,CHD5,chromodomain helicase DNA binding protein 5,protein-coding,ENSG00000116254,9850
105376687,LOC105376687,,,,322
6146,RPL22,ribosomal protein L22,protein-coding,ENSG00000116251,2061
107985733,LOC107985733,,,,523
102724450,RNF207-AS1,RNF207 antisense RNA 1,ncRNA,ENSG00000226944,378
388591,RNF207,ring finger protein 207,protein-coding,ENSG00000158286,5078
23463,ICMT,isoprenylcysteine carboxyl methyltransferase,protein-coding,ENSG00000116237,4852
148645,ICMT-DT,ICMT divergent transcript,ncRNA,,1642
390992,HES3,hes family bHLH transcription factor 3,protein-coding,ENSG00000173673,710
387509,GPR153,G protein-coupled receptor 153,protein-coding,ENSG00000158292,4871
11332,ACOT7,acyl-CoA thioesterase 7,protein-coding,ENSG00000097021,2329
54626,HES2,hes family bHLH transcription factor 2,protein-coding,ENSG00000069812,4262
83715,ESPN,espin,protein-coding,ENSG00000187017,8757
100422975,MIR4252,microRNA 4252,ncRNA,ENSG00000265392,63
8718,TNFRSF25,TNF receptor superfamily member 25,protein-coding,ENSG00000215788,1916
57449,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5,protein-coding,ENSG00000171680,5968
79707,NOL9,nucleolar protein 9,protein-coding,ENSG00000162408,7898
80835,TAS1R1,taste 1 receptor member 1,protein-coding,ENSG00000173662,4256
107984912,LOC107984912,uncharacterized LOC107984912,ncRNA,,446
3104,ZBTB48,zinc finger and BTB domain containing 48,protein-coding,ENSG00000204859,3005
9903,KLHL21,kelch like family member 21,protein-coding,ENSG00000162413,4939
107984913,LOC107984913,uncharacterized LOC107984913,ncRNA,,1971
148479,PHF13,PHD finger protein 13,protein-coding,ENSG00000116273,3844
90326,THAP3,THAP domain containing 3,protein-coding,ENSG00000041988,3740
55735,DNAJC11,DnaJ heat shock protein family (Hsp40) member C11,protein-coding,ENSG00000007923,3220
100505887,LINC01672,long intergenic non-protein coding RNA 1672,ncRNA,,485
110841581,CAMTA1-DT,CAMTA1 divergent transcript,ncRNA,,552
23261,CAMTA1,calmodulin binding transcription activator 1,protein-coding,ENSG00000171735,22406
105376692,LOC105376692,,,,2326
102725193,CAMTA1-AS2,CAMTA1 antisense RNA 2,ncRNA,ENSG00000237728,744
101928836,CAMTA1-AS1,CAMTA1 antisense RNA 1,ncRNA,,1480
105376691,LOC105376691,uncharacterized LOC105376691,ncRNA,,307
105376689,LOC105376689,translation initiation factor IF-2,ncRNA,,5969
9341,VAMP3,vesicle associated membrane protein 3,protein-coding,ENSG00000049245,2631
8863,PER3,period circadian regulator 3,protein-coding,ENSG00000049246,8502
10911,UTS2,urotensin 2,protein-coding,ENSG00000049247,1702
3604,TNFRSF9,TNF receptor superfamily member 9,protein-coding,ENSG00000049249,6870
11315,PARK7,Parkinsonism associated deglycase,protein-coding,ENSG00000116288,1344
54206,ERRFI1,ERBB receptor feedback inhibitor 1,protein-coding,ENSG00000116285,6826
107984915,LOC107984915,uncharacterized LOC107984915,ncRNA,,1086
102724539,LINC01714,long intergenic non-protein coding RNA 1714,ncRNA,ENSG00000227634,497
105376695,LOC105376695,uncharacterized LOC105376695,ncRNA,,176
50651,SLC45A1,solute carrier family 45 member 1,protein-coding,ENSG00000162426,2551
473,RERE,arginine-glutamic acid dipeptide repeats,protein-coding,ENSG00000142599,8466
102724552,RERE-AS1,RERE antisense RNA 1,ncRNA,,694
106632271,SNORD128,"small nucleolar RNA, C/D box 128",snoRNA,,114
2023,ENO1,enolase 1,protein-coding,ENSG00000074800,3161
102465436,MIR6728,microRNA 6728,ncRNA,ENSG00000274258,89
100505975,ENO1-AS1,ENO1 antisense RNA 1,ncRNA,ENSG00000230679,447
112268261,LOC112268261,uncharacterized LOC112268261,ncRNA,,6171
765,CA6,carbonic anhydrase 6,protein-coding,ENSG00000131686,1614
155184,SLC2A7,solute carrier family 2 member 7,protein-coding,ENSG00000197241,2078
6518,SLC2A5,solute carrier family 2 member 5,protein-coding,ENSG00000142583,5891
80045,GPR157,G protein-coupled receptor 157,protein-coding,ENSG00000180758,5219
106614088,MIR34AHG,MIR34A host gene,ncRNA,ENSG00000228526,4157
407040,MIR34A,microRNA 34a,ncRNA,ENSG00000284357,110
102724571,LNCTAM34A,long non coding transcriptional activator of miR34a,ncRNA,ENSG00000234546,982
9563,H6PD,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,protein-coding,ENSG00000049239,14647
80176,SPSB1,splA/ryanodine receptor domain and SOCS box containing 1,protein-coding,ENSG00000171621,3106
100506022,LINC02606,long intergenic non-protein coding RNA 2606,ncRNA,ENSG00000284693,2438
84275,SLC25A33,solute carrier family 25 member 33,protein-coding,ENSG00000171612,4007
199953,TMEM201,transmembrane protein 201,protein-coding,ENSG00000188807,7153
107985734,LOC107985734,,,,1102
105376712,LOC105376712,uncharacterized LOC105376712,ncRNA,,442
5293,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",protein-coding,ENSG00000171608,6330
644997,PIK3CD-AS1,PIK3CD antisense RNA 1,ncRNA,ENSG00000179840,1823
101929074,PIK3CD-AS2,PIK3CD antisense RNA 2,ncRNA,ENSG00000231789,958
22883,CLSTN1,calsyntenin 1,protein-coding,ENSG00000171603,5321
56998,CTNNBIP1,catenin beta interacting protein 1,protein-coding,ENSG00000178585,3500
105376717,LOC105376717,uncharacterized LOC105376717,ncRNA,,485
84328,LZIC,leucine zipper and CTNNBIP1 domain containing,protein-coding,ENSG00000162441,5241
64802,NMNAT1,nicotinamide nucleotide adenylyltransferase 1,protein-coding,ENSG00000173614,4763
113391335,TMEM274P,"transmembrane protein 274, pseudogene",pseudo,ENSG00000283611,444
100847055,MIR5697,microRNA 5697,ncRNA,ENSG00000265521,78
116362,RBP7,retinol binding protein 7,protein-coding,ENSG00000162444,840
10277,UBE4B,ubiquitination factor E4B,protein-coding,ENSG00000130939,7007
23095,KIF1B,kinesin family member 1B,protein-coding,ENSG00000054523,16647
105376725,LOC105376725,,,,1449
5226,PGD,phosphogluconate dehydrogenase,protein-coding,ENSG00000142657,2473
100526739,CENPS-CORT,CENPS-CORT readthrough,protein-coding,ENSG00000251503,1967
378708,CENPS,centromere protein S,protein-coding,ENSG00000175279,1557
1325,CORT,cortistatin,protein-coding,ENSG00000241563,914
1676,DFFA,DNA fragmentation factor subunit alpha,protein-coding,ENSG00000160049,7390
5195,PEX14,peroxisomal biogenesis factor 14,protein-coding,ENSG00000142655,6014
54897,CASZ1,castor zinc finger 1,protein-coding,ENSG00000130940,9164
105376733,LOC105376733,uncharacterized LOC105376733,ncRNA,,2605
105376735,LOC105376735,uncharacterized LOC105376735,ncRNA,,708
148345,C1orf127,chromosome 1 open reading frame 127,protein-coding,ENSG00000175262,2919
23435,TARDBP,TAR DNA binding protein,protein-coding,ENSG00000120948,5232
10747,MASP2,MBL associated serine protease 2,protein-coding,ENSG00000009724,2687
6723,SRM,spermidine synthase,protein-coding,ENSG00000116649,1484
5394,EXOSC10,exosome component 10,protein-coding,ENSG00000171824,3822
105376736,EXOSC10-AS1,EXOSC10 antisense RNA 1,ncRNA,ENSG00000230337,607
2475,MTOR,mechanistic target of rapamycin kinase,protein-coding,ENSG00000198793,9582
100873935,MTOR-AS1,MTOR antisense RNA 1,ncRNA,ENSG00000225602,706
10218,ANGPTL7,angiopoietin like 7,protein-coding,ENSG00000171819,2502
29914,UBIAD1,UbiA prenyltransferase domain containing 1,protein-coding,ENSG00000120942,8514
105376737,LOC105376737,uncharacterized LOC105376737,ncRNA,,1953
105376739,LOC105376739,uncharacterized LOC105376739,ncRNA,,683
105376740,LOC105376740,uncharacterized LOC105376740,ncRNA,,943
57540,DISP3,dispatched RND transporter family member 3,protein-coding,ENSG00000204624,7508
112268221,LOC112268221,,,,3663
101929181,LINC01647,long intergenic non-protein coding RNA 1647,ncRNA,ENSG00000235643,1285
26232,FBXO2,F-box protein 2,protein-coding,ENSG00000116661,1287
93611,FBXO44,F-box protein 44,protein-coding,ENSG00000132879,3634
26270,FBXO6,F-box protein 6,protein-coding,ENSG00000116663,1928
10459,MAD2L2,mitotic arrest deficient 2 like 2,protein-coding,ENSG00000116670,2267
374946,DRAXIN,dorsal inhibitory axon guidance protein,protein-coding,ENSG00000162490,9003
57085,AGTRAP,angiotensin II receptor associated protein,protein-coding,ENSG00000177674,1316
284498,C1orf167,chromosome 1 open reading frame 167,protein-coding,ENSG00000215910,6667
102724659,C1orf167-AS1,C1orf167 antisense RNA 1,ncRNA,ENSG00000177553,1868
4524,MTHFR,methylenetetrahydrofolate reductase,protein-coding,ENSG00000177000,8806
1185,CLCN6,chloride voltage-gated channel 6,protein-coding,ENSG00000011021,5708
100379251,NPPA-AS1,NPPA antisense RNA 1,ncRNA,,1662
4878,NPPA,natriuretic peptide A,protein-coding,ENSG00000175206,855
4879,NPPB,natriuretic peptide B,protein-coding,ENSG00000120937,708
26829,RNU5E-1,"RNA, U5E small nuclear 1",snRNA,ENSG00000199347,119
90231,KIAA2013,KIAA2013,protein-coding,ENSG00000116685,2819
5351,PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",protein-coding,ENSG00000083444,3117
9927,MFN2,mitofusin 2,protein-coding,ENSG00000116688,4905
60672,MIIP,migration and invasion inhibitory protein,protein-coding,ENSG00000116691,1931
102466982,MIR6729,microRNA 6729,ncRNA,ENSG00000276869,65
943,TNFRSF8,TNF receptor superfamily member 8,protein-coding,ENSG00000120949,4216
102465836,MIR7846,microRNA 7846,ncRNA,ENSG00000283789,96
7133,TNFRSF1B,TNF receptor superfamily member 1B,protein-coding,ENSG00000028137,5168
100616438,MIR4632,microRNA 4632,ncRNA,ENSG00000263676,61
107984917,LOC107984917,,,,2381
55187,VPS13D,vacuolar protein sorting 13 homolog D,protein-coding,ENSG00000048707,16357
677885,SNORA59A,"small nucleolar RNA, H/ACA box 59A",snoRNA,ENSG00000239149,152
105376744,LINC02766,long intergenic non-protein coding RNA 2766,ncRNA,,4148
9249,DHRS3,dehydrogenase/reductase 3,protein-coding,ENSG00000162496,2939
102466722,MIR6730,microRNA 6730,ncRNA,ENSG00000276830,67
343066,AADACL4,arylacetamide deacetylase like 4,protein-coding,ENSG00000204518,2079
126767,AADACL3,arylacetamide deacetylase like 3,protein-coding,ENSG00000188984,4055
93190,CFAP107,cilia and flagella associated protein 107,protein-coding,ENSG00000157330,3564
390999,PRAMEF12,PRAME family member 12,protein-coding,ENSG00000116726,1779
65121,PRAMEF1,PRAME family member 1,protein-coding,ENSG00000116721,2439
105376745,LINC01784,long intergenic non-protein coding RNA 1784,ncRNA,ENSG00000228338,442
440560,PRAMEF11,PRAME family member 11,protein-coding,ENSG00000239810,2311
343069,HNRNPCL1,heterogeneous nuclear ribonucleoprotein C like 1,protein-coding,ENSG00000179172,1170
65122,PRAMEF2,PRAME family member 2,protein-coding,ENSG00000120952,1936
400735,PRAMEF4,PRAME family member 4,protein-coding,ENSG00000243073,1840
343071,PRAMEF10,PRAME family member 10,protein-coding,ENSG00000187545,1525
441871,PRAMEF7,PRAME family member 7,protein-coding,ENSG00000204510,1558
440561,PRAMEF6,PRAME family member 6,protein-coding,ENSG00000232423,1720
101929983,PRAMEF27,PRAME family member 27,protein-coding,ENSG00000274764,1437
649330,HNRNPCL3,heterogeneous nuclear ribonucleoprotein C like 3,protein-coding,ENSG00000277058,1006
441873,PRAMEF25,PRAME family member 25,protein-coding,ENSG00000229571,1939
649324,PRAMEF34P,"PRAME family member 34, pseudogene",pseudo,,2214
440563,HNRNPCL2,heterogeneous nuclear ribonucleoprotein C like 2,protein-coding,ENSG00000275774,1156
645354,PRAMEF36P,"PRAME family member 36, pseudogene",pseudo,,2214
645359,PRAMEF26,PRAME family member 26,protein-coding,ENSG00000280267,1785
101060301,HNRNPCL4,heterogeneous nuclear ribonucleoprotein C like 4,protein-coding,ENSG00000179412,928
343070,PRAMEF9,PRAME family member 9,protein-coding,ENSG00000204505,1437
400736,PRAMEF13,PRAME family member 13,protein-coding,ENSG00000279169,2456
391003,PRAMEF18,PRAME family member 18,protein-coding,ENSG00000279804,2125
343068,PRAMEF5,PRAME family member 5,protein-coding,ENSG00000270601,1855
391002,PRAMEF8,PRAME family member 8,protein-coding,ENSG00000182330,1676
645382,PRAMEF33,PRAME family member 33,protein-coding,ENSG00000237700,1518
653619,PRAMEF15,PRAME family member 15,protein-coding,ENSG00000204501,1865
729528,PRAMEF14,PRAME family member 14,protein-coding,ENSG00000204481,2458
645414,PRAMEF19,PRAME family member 19,protein-coding,ENSG00000204480,2123
391004,PRAMEF17,PRAME family member 17,protein-coding,ENSG00000204479,1578
645425,PRAMEF20,PRAME family member 20,protein-coding,ENSG00000204478,1597
126755,LRRC38,leucine rich repeat containing 38,protein-coding,ENSG00000162494,2168
102724856,LOC102724856,uncharacterized LOC102724856,ncRNA,,2792
107984918,LOC107984918,uncharacterized LOC107984918,ncRNA,ENSG00000259961,1261
10630,PDPN,podoplanin,protein-coding,ENSG00000162493,3142
107984919,LOC107984919,,,,2123
105378612,LOC105378612,uncharacterized LOC105378612,ncRNA,,1123
105376756,LOC105376756,uncharacterized LOC105376756,ncRNA,,443
7799,PRDM2,PR/SET domain 2,protein-coding,ENSG00000116731,12003
23254,KAZN,"kazrin, periplakin interacting protein",protein-coding,ENSG00000189337,16172
107985467,LOC107985467,uncharacterized LOC107985467,ncRNA,,4235
107985468,LOC107985468,,,,415
105376762,KAZN-AS1,KAZN antisense RNA 1,ncRNA,ENSG00000234593,1247
105376759,LOC105376759,uncharacterized LOC105376759,ncRNA,,5401
107985469,LOC107985469,uncharacterized LOC107985469,ncRNA,,2311
200197,TMEM51-AS1,TMEM51 antisense RNA 1,ncRNA,ENSG00000175147,6979
55092,TMEM51,transmembrane protein 51,protein-coding,ENSG00000171729,2808
